Lng|Lat|Name|Genders|Ages|Status|FB|Email|Website|Location|Founded|Defunct|Rulesets|Info
-58.40|-34.70|Cerberos Roller Derby|M|A|P|https://www.facebook.com/pages/Cerberos-Roller-Derby/1460327550881671|cerberosrd@gmail.com|https://www.facebook.com/pages/Cerberos-Roller-Derby/1460327550881671|Lanús,Buenos Aires,Argentina|2014-07-07||WFTDA|Member of:
-59.10|-35.19|Valkirias Roller Derby|W|A|P|https://www.facebook.com/Valkiriasrollerderby/||https://www.facebook.com/RollerDerbyLobos|Lobos,Buenos Aires,Argentina|2015-01-07||WFTDA|Member of:
-57.54|-38.01|Cobra Quads Roller Derby|M||B|https://www.facebook.com/cobracuadsrollerderbymdq/|cobraquads@gmail.com||Mar del Plata,Buenos Aires,Argentina|2013-09-07||WFTDA|Member of:
-57.54|-38.01|MDQueens Roller Derby|W|A|B|https://www.facebook.com/mdqueensrollerderby||https://www.facebook.com/mdqueensrollerderby|Mar del Plata,Buenos Aires,Argentina|||WFTDA|Member of:
-57.54|-38.01|Rebeldes del Asfalto Roller Derby|W|A|B|https://www.facebook.com/rebeldesdelasfaltorollerderby/|||Mar del Plata,Buenos Aires,Argentina|2016-11-15||WFTDA|Member of:
-58.73|-34.67|Fawkes Roller Derby|W|A|B|https://www.facebook.com/fawkesrollerderby||https://www.facebook.com/fawkesrollerderby|Merlo,Buenos Aires,Argentina|2014-07-24||WFTDA|Member of:
-58.62|-34.66|Morón Roller Derby|W,M|A|B|https://www.facebook.com/Moron-Roller-Derby-608131432708313/||https://www.facebook.com/DeportivoMoronRD|Morón,Buenos Aires,Argentina|2014-01-21||WFTDA|Member of:
-58.74|-38.55|Calacas Acidas Roller Derby|W|A|P|https://www.facebook.com/Calacas-Acidas-Roller-Derby-831080533614649/|calacasacidas@gmail.com|https://www.facebook.com/pages/Calacas-Acidas-Roller-Derby/831080533614649|Necochea,Buenos Aires,Argentina|2015-01-23||WFTDA|Member of:
-60.57|-33.89|Pergamino Roller Derby|W|A|P|https://www.facebook.com/pages/Pergamino-Roller-Derby-Las-Motherfucker/898975490137174||https://www.facebook.com/pages/Pergamino-Roller-Derby-Las-Motherfucker/898975490137174|Pergamino,Buenos Aires,Argentina|2015-01-05||WFTDA|Member of:
-58.40|-34.72|Colmena Roller Derby|W|A|B|https://www.facebook.com/colmenarollerderby/|colmenarollerderby@gmail.com|https://www.facebook.com/colmena.rd.1|Remedios de Escalada,Buenos Aires,Argentina|2018-01-16||WFTDA|Member of:
-58.38|-34.77|Dirty Fucking Dolls|W|A|B|https://www.facebook.com/Rollerderby-Dirty-Fucking-Dolls-Temperley-227600047250823/|dirtyfvckingdolls@hotmail.com|https://www.facebook.com/pages/Dirty-Fucking-Dolls/227600047250823|Temperley,Buenos Aires,Argentina|2011-03-15||WFTDA|Member of:
-58.58|-34.43|Bastardas Roller Derby Tigre|W|A|P|https://www.facebook.com/bastardasrdtigre/|bastardasrd@gmail.com||Tigre,Buenos Aires,Argentina|2016-06-28||WFTDA|Member of:
-58.47|-34.53|Facones Galácticos Roller Derby|C|A|B|https://www.facebook.com/FaconesGalacticosRD/|faconesgalacticosrd@gmail.com||Vicente Lopez,Buenos Aires,Argentina|2017-01-01||WFTDA|Member of:
-58.47|-34.53|Wonderclan Roller Derby|W,M|A|B|https://www.facebook.com/wonderclan.rollerderby|wonderclan.rollerderby@gmail.com|https://www.facebook.com/wonderclan.rollerderby|Vicente Lopez,Buenos Aires,Argentina|2013-07-07||WFTDA|Member of:
-67.48|-45.87|Comodoro Roller Derby|W,C|A|B|https://www.facebook.com/comodororollerderby/|comodoroderby@gmail.com|https://www.facebook.com/comodororollerderby/|Comodoro Rivadavia,Chubut,Argentina|2013-09-05||WFTDA|Member of:
-65.03|-42.77|Puerto Madryn Roller Derby|W|A|B|https://www.facebook.com/PuertoMadrynrd||https://www.facebook.com/PuertoMadrynrd|Puerto Madryn,Chubut,Argentina|||WFTDA|Member of:
-67.48|-45.87|Vendaval Roller Derby|C|A|P|https://www.facebook.com/vendavalrollerderby/|vendavalrd@gmail.com|https://www.facebook.com/vendaval.rollerderby.14|Comodoro Rivadavia,Comodoro Rivadavia,Argentina|2018-09-01||WFTDA|Member of:
-64.19|-31.42|Brutal Lips Roller Derby|W|A|R|https://www.facebook.com/Brutal.Lips||https://www.facebook.com/Brutal.Lips|Córdoba,Córdoba,Argentina|2013-08-30||WFTDA|Member of:
-64.19|-31.42|Córdoba Roller Derby|W|A|B|https://www.facebook.com/Cbarollerderby||https://www.facebook.com/Cbarollerderby|Córdoba,Córdoba,Argentina|||WFTDA|Member of:
-64.19|-31.42|Insubordinades Roller Derby Disidente|C|A|B|https://www.facebook.com/InsubordinadesRD/|insubordinadesrd@gmail.com||Cordoba,Cordoba,Argentina|2018-01-20||WFTDA|Member of:
-65.30|-24.19|Mortal Kollas Roller Derby Jujuy|W|A|P|https://www.facebook.com/MORTALKOLLASRDjujuy|mortalkollas@gmail.com||San Salvador de Jujuy,Jujuy,Argentina|2014-10-23||WFTDA|Member of:
-65.30|-24.19|Munay Roller Derby Jujuy|C|A|P|https://www.facebook.com/MunayRollerDerbyJujuy/|munayrdjujuy@gmail.com||San Salvador de Jujuy,Jujuy,Argentina|2016-05-07||WFTDA|Member of:
-66.86|-29.41|Brutal Fem Roller Derby|W|A|P|https://www.facebook.com/BrutalFEM/|brutalfemlr@gmail.com|https://www.facebook.com/pages/Brutal-FEM-La-Rioja-Roller-Derby/678389655564158|La Rioja,La Rioja,Argentina|2014-09-23||WFTDA|Member of:
-68.85|-32.89|Atlantis Roller Crew|C|A|S|https://www.facebook.com/AtlantisRollerCrew/|atlantis.roller.crew@gmail.com||Mendoza,Mendoza,Argentina|2017-06-30||WFTDA|Member of:
-68.85|-32.89|Contragolpe Roller Derby|M|A|B|https://www.facebook.com/contragolperollerderby|contragolperollerderby@gmail.com|https://www.facebook.com/contragolperollerderby|Mendoza,Mendoza,Argentina|2014-01-18||WFTDA|Member of:
-68.85|-32.89|Dulces Caníbales Roller Derby Mendoza|W|A|B|https://www.facebook.com/DulcesCanibalesRollerDerbyMendoza||https://www.facebook.com/DulcesCanibalesRollerDerbyMendoza|Mendoza,Mendoza,Argentina|||WFTDA|Member of:
-68.85|-32.89|SarcastiCats Roller Derby|W|A|B|https://www.facebook.com/SarcastiCatsRollerDerbyMza|sarcasticats.rollerderby@gmail.com|https://www.facebook.com/SarcastiCatsRollerDerbyMza|Mendoza,Mendoza,Argentina|2014-10-17||WFTDA|Member of:
-68.06|-38.95|Barderas Insurrectas|W|A|P|https://www.facebook.com/barderasinsurrectas||https://www.facebook.com/barderasinsurrectas|Neuquén,Neuquén,Argentina|2014-12-17||WFTDA|Member of:
-68.06|-38.95|Malditas X|W|A|S|https://www.facebook.com/MalditasXrd/|Malditasxrd@gmail.com|https://www.instagram.com/malditasx/|Neuquén,Neuquén,Argentina|2016-12-10||WFTDA|Member of:
-68.06|-38.95|Quimeras Roller Derby|W|A|B|https://www.facebook.com/pages/Quimeras-Roller-Derby-Neuquen/300168496836980||https://www.facebook.com/pages/Quimeras-Roller-Derby-Neuquen/300168496836980|Neuquén,Neuquén,Argentina|2014-09-03||WFTDA|Member of:
-69.20|-38.93|Cruellas Roller Derby|W|A|B|https://www.facebook.com/Cruellas.Roller.Derby.Plaza.Huincul/|cruellasrollerderby@hotmail.com||Plaza Huincul,Neuquen,Argentina|2016-03-14||WFTDA|Member of:
-70.06|-38.90|Hijas Del Pantano|W|A|P|https://www.facebook.com/zapala.rollerderby.9||https://www.facebook.com/zapala.rollerderby.9|Zapala,Neuquén,Argentina|2014-10-18||WFTDA|Member of:
-71.31|-41.13|Huiñas Roller Derby - Bariloche|W|A|B|https://www.facebook.com/hrdbariloche/|hrdbariloche@gmail.com||Bariloche,Rio Negro,Argentina|2016-06-07||WFTDA|Member of:
-71.31|-41.13|Revolución Roller Derby|W|A|P|https://www.facebook.com/revolucionrollerderby|revolucionrollerderby@gmail.com||Bariloche,Rio Negro,Argentina|2014-06-01||WFTDA|Member of:
-67.59|-39.03|Mandrágoras Roller Derby|W|A|P|https://www.facebook.com/Mandragorasrollerderby/|rollerderbyroca@outlook.com|https://www.facebook.com/pages/Mandrágoras-Roller-Derby-Roca-RN/238342856315292|General Roca,Rio Negro,Argentina|2013-10-09||WFTDA|Member of:
-65.42|-24.78|Malditas Lisiadas Roller Derby|W|A|P|https://www.facebook.com/malditaslisiadasRD||https://www.facebook.com/malditaslisiadasRD|Salta,Salta,Argentina|2015-02-10||WFTDA|Member of:
-68.54|-31.54|San Juan Roller Derby|W|A|R|https://www.facebook.com/SanJuanRollerDerby||https://www.facebook.com/SanJuanRollerDerby|San Juan,San Juan,Argentina|2014-10-23||WFTDA|Member of:
-66.34|-33.30|Vikingas Roller Derby|W|A|S|https://www.facebook.com/vikingasrollerderby/|||San Luis,San Luis,Argentina|2016-08-21||WFTDA|Member of:
-67.52|-46.44|Olivia Salvaje Roller Derby|W|A|P|https://www.facebook.com/OliviaSalvajeRollerDerby|oliviasalvajerollerderby@gmail.com|https://www.facebook.com/OliviaSalvajeRollerDerby|Caleta Olivia,Santa Cruz,Argentina|2015-08-08||WFTDA|Member of:
-72.26|-50.34|Calafate Roller Derby|W,M|A|B|https://www.facebook.com/calafaterollerderby/|elcalafaterollerderby@gmail.com|https://www.facebook.com/profile.php?id=100009593552893|El Calafate,Santa Cruz,Argentina|2015-04-13||WFTDA|Member of:
-72.61|-50.23|Eólicas Roller Derby|W|A|S|https://www.facebook.com/chaltenrollerderby|||Lago Argentino,Santa Cruz,Argentina|2016-03-22||WFTDA|Member of:
-67.96|-46.80|Roller Derby Pico Truncado|W|A|P|https://www.facebook.com/profile.php?id=100010494218603|||Pico Truncado,Santa Cruz,Argentina|2015-10-18||WFTDA|Member of:
-69.22|-51.62|Fenix Roller Derby|C|A,J|P|https://www.facebook.com/fenixriogallegos/|||Rio Gallegos,Santa Cruz,Argentina|2017-02-12||WFTDA,JRDA|Member of:
-69.22|-51.62|Liga Rio Gallegos Roller Derby|W|A|B|https://www.facebook.com/ligarollerderbyriogallegos/|rollerderbyriogallegos@gmail.com|https://www.facebook.com/rollerderbyriogallegos|Rio Gallegos,Santa Cruz,Argentina|2013-04-10||WFTDA|Member of:
-60.65|-32.94|Cazadoras Roller Derby|W,C|A|P|https://www.facebook.com/cazadorasrollerderbyrosario|cazadorasrdrosario@hotmail.com|https://www.instagram.com/cazadorasrd/|Rosario,Santa Fe,Argentina|2013-12-10||WFTDA|Member of:
-60.65|-32.94|Mad Monkeys Roller Derby|W|A|S|https://web.facebook.com/madmonkeysrollerderby/?ref=bookmarks|madmonkeysderby@gmail.com||Rosario,Santa Fe,Argentina|2016-10-15||WFTDA|Member of:
-60.65|-32.94|Rosario Roller Derby|W|A|B|https://www.facebook.com/RosarioRollerDerby||https://www.facebook.com/RosarioRollerDerby|Rosario,Santa Fe,Argentina|||WFTDA|Member of:
-60.70|-31.61|Roller Siths|C|A|R|https://www.facebook.com/roller.siths||https://www.facebook.com/roller.siths|Santa Fe,Santa Fe,Argentina|2013-03-01||WFTDA|Member of:
-60.70|-31.61|Santa's Hell Roller Derby|W|A|B|https://www.facebook.com/rollerderbysantafe||https://www.facebook.com/rollerderbysantafe|Santa Fe,Santa Fe,Argentina|||WFTDA|Member of:
-67.70|-53.79|Wheels on Fire Roller Derby|W|A|P|https://www.facebook.com/wheelsOnFireRollerDerby/|||Rio Grande,Tierra del Fuego,Argentina|2017-07-02||WFTDA|Member of:
-67.70|-53.79|Kalakas Roller Derby|W|A|P|https://www.facebook.com/kalakas.rd/||https://www.instagram.com/kalakas.derbyrg/|Rio Grande,Tierra del Fuego,Argentina|2017-09-01||WFTDA|Member of:
-68.30|-54.80|Bandera Negra Roller Derby|M|A|P|https://www.facebook.com/Banderanegrard/|||Ushuaia,Tierra del Fuego,Argentina|2018-03-08||WFTDA|Member of:
-68.30|-54.80|Piratas del Beagle Roller Derby|W|A|B|https://www.facebook.com/pg/Piratas-del-Beagle-Roller-Derby-Ushuaia-667808156642695/|roller.derby.ushuaia@gmail.com|https://www.facebook.com/pages/Piratas-del-Beagle-Roller-Derby-Ushuaia/667808156642695|Ushuaia,Tierra del Fuego,Argentina|2013-02-16||WFTDA|Member of:
-65.22|-26.81|Rayo Naranja Roller Derby|W,M|A|B|https://www.facebook.com/RayoNaranjaRD||https://www.facebook.com/RayoNaranjaRD|San Miguel de Tucumán,Tucumán,Argentina|||WFTDA|Member of:
-65.22|-26.81|Tucumán Roller Derby|W|A|B|https://www.facebook.com/TucumanRollerDerby||https://www.facebook.com/TucumanRollerDerby|San Miguel de Tucumán,Tucumán,Argentina|||WFTDA|Member of:
149.13|-35.28|Canberra Roller Derby League|W|A|B|https://www.facebook.com/canberra.derby||http://canberrarollerderbyleague.com/|Canberra,Australian Capitol Territory,Australia|2008-12-31||WFTDA|Member of:WFTDA-M
149.13|-35.28|Varsity Derby League|W,M,C|A,J|B|https://www.facebook.com/VarsityDerbyLeague|varsityderbyleague@gmail.com|http://varsityderbyleague.com/|Canberra,Australian Capitol Territory,Australia|2011-12-31||WFTDA,JRDA|Member of:
146.91|-36.07|Murray River Derby Dames|W|A|B|https://www.facebook.com/murrayriver.derbydames||http://murrayriverderbydames.com.au/|Albury,New South Wales,Australia|2010-11-15||WFTDA|Member of:
151.67|-30.50|Armidale Roller Derby|W,M|A|B|https://www.facebook.com/ArmidaleRollerDerby|board@ard.org.au|https://www.facebook.com/ArmidaleRollerDerby|Armidale,New South Wales,Australia|2012-08-12||WFTDA|Member of:
151.49|-33.38|Bruisers Junior Roller Derby|W|J|B|https://www.facebook.com/bruisersrollerderby|bruisersjuniors@gmail.com|http://bruisersrollerderby.weebly.com|Bateau Bay,New South Wales,Australia|2014-04-06||JRDA|Member of:
151.49|-33.38|OutCast Derby|W|A|B|https://www.facebook.com/OutcastDerby|outcastderby@gmail.com|https://www.facebook.com/OutcastDerby|Bateau Bay,New South Wales,Australia|2013-04-22||WFTDA|Member of:
141.47|-31.96|Broken Hill Roller Derby League|W|A|B|https://www.facebook.com/brokenhillrollerderbyleague||http://www.brokenhillrollerderbyleague.org.au/|Broken Hill,New South Wales,Australia|2011-02-16||WFTDA|Member of:
153.11|-30.30|Coffs Coast Derby Dolls|W,C|A,J|B|https://www.facebook.com/coffscoastderbydolls|info@coffscoastderbydolls.com|http://www.coffscoastderby.com/|Coffs Harbour,New South Wales,Australia|2010-05-15||WFTDA,JRDA|Member of:
151.29|-33.77|Northern Beaches Roller Girls|W|A,J|B|https://www.facebook.com/NorthernBeachesRollerGirls|info@nbrg.com.au|http://www.nbrg.com.au|Curl Curl,New South Wales,Australia|2012-06-15||WFTDA,JRDA|Member of:
151.39|-33.44|Central Coast Roller Derby United|W|A|B|https://www.facebook.com/CCRDU/|ccrduinfo@gmail.com|https://www.centralcoastrollerderby.com.au|Erina,New South Wales,Australia|2010-10-15||WFTDA|Member of:
152.51|-32.18|Great Skates Roller Derby League|W|A|B|https://www.facebook.com/Great-Skates-Roller-Derby-League-262866870418662/|greatskatesrollerderby@gmail.com|https://www.facebook.com/pages/Great-Skates-Roller-Derby-League/262866870418662|Forster,New South Wales,Australia|2011-10-08||WFTDA|Member of:
151.10|-33.97|South Side Derby Dolls|W|A|B|https://www.facebook.com/SouthSideDerbyDolls|info@southsidederby.com|http://southsidederby.com/|Hurstville,New South Wales,Australia|2012-01-01||WFTDA|Member of:WFTDA-M
150.31|-33.71|Blue Mountains Roller Derby League|W|A,J|B|https://www.facebook.com/bmrdl/|info@bluemountainsrollerderby.com|http://bluemountainsrollerderby.com/|Katoomba,New South Wales,Australia|2012-01-23||WFTDA,JRDA|Member of:
146.40|-34.57|Leeton Roller Derby|W|A|B|https://www.facebook.com/leetonrollerderby||https://www.facebook.com/leetonrollerderby|Leeton,New South Wales,Australia|2013-07-24||WFTDA|Member of:
153.29|-28.81|Northern Rivers Roller Derby|W|A,J|B|https://www.facebook.com/NorthernRiversRollerDerby|northernriversrollergirls@gmail.com|http://nrrd.com.au|Lismore,New South Wales,Australia|2010-12-31||WFTDA,JRDA|Member of:
151.55|-32.74|Maitland Roller Girls|W|A|B|https://www.facebook.com/maitlandrollerderby|interleague.mcrg@gmail.com|http://www.maitlandcityrollergirls.org/|Maitland,New South Wales,Australia|2013-11-22||WFTDA|Member of:
150.90|-32.28|Muswellbrook and Districts Roller Derby League|W|A|B|https://www.facebook.com/madrdl|info.madrdl@gmail.com|http://www.madrollerderby.org/|Muswellbrook,New South Wales,Australia|2011-11-06||WFTDA|Member of:
151.78|-32.93|Newcastle Junior Roller Derby|W,C|J|B|https://www.facebook.com/NewcastleJuniorRollerDerby|newcastlejuniorrollerderby@gmail.com|http://www.newcastlejuniorrollerderby.com.au|Newcastle,New South Wales,Australia|2013-06-03||JRDA|Member of:
151.78|-32.93|Newcastle Mens Derby|M|A|B|https://www.facebook.com/newcastlemensderby|newcastlemensderby@gmail.com||Newcastle,New South Wales,Australia|2014-07-13||WFTDA|Member of:
151.78|-32.93|Newcastle Roller Derby League|W|A|B|https://www.facebook.com/newcastlerollerderby||http://www.newcastlerollerderby.org.au/|Newcastle,New South Wales,Australia|2009-01-09||WFTDA|Member of:
149.10|-33.28|Central West Roller Derby|W|A|B|https://www.facebook.com/CentralWestRollerDerby/|centralwestrollerderby@gmail.com|http://orangerollerderby.org.au/|Orange,New South Wales,Australia|2011-04-18|2016-02-18|WFTDA|Member of:
152.90|-31.43|Port Macquarie Roller Derby|W|A|B|https://www.facebook.com/portmacquarierollerderbyleague||https://www.facebook.com/portmacquarierollerderbyleague|Port Macquarie,New South Wales,Australia|2010-11-11||WFTDA|Member of:
151.21|-33.87|Inner West Roller Derby League|W|A|B|https://www.facebook.com/innerwestrollerderbyleague||http://www.innerwestrollerderby.com/|Sydney,New South Wales,Australia|2012-02-15||WFTDA|Member of:
151.21|-33.87|Sydney City SMASH Men’s Derby|M|A|B|https://www.facebook.com/sydneycitysmash|sydneycitysmash@gmail.com|https://www.facebook.com/sydneycitysmash|Sydney,New South Wales,Australia|2013-04-09||WFTDA|Member of:MRDA-M
151.21|-33.87|Sydney Roller Derby League|W|A|B|https://www.facebook.com/SydneyRollerDerbyLeague||http://www.sydneyrollerderby.com/|Sydney,New South Wales,Australia|2007-12-31||WFTDA|Member of:WFTDA-M
151.21|-33.87|University of Sydney Roller Derby League|C|A|B|https://www.facebook.com/USYDRollerDerbyLeague||https://www.facebook.com/USYDRollerDerbyLeague|Sydney,New South Wales,Australia|2013-03-26||WFTDA|Member of:
151.21|-33.87|Western Sydney Rollers|W,M,C|A,J|B|https://www.facebook.com/pages/Western-Sydney-Rollers/42792267115|westernsydneyrollers@gmail.com|http://westernsydneyrollers.com/|Sydney,New South Wales,Australia|2008-12-03||WFTDA,JRDA|Member of:
150.93|-31.09|New England Roller Derby|W|A|B|https://www.facebook.com/NewEnglandRollerDerbyLeague/|newenglandrollerderbyleague@gmail.com||Tamworth,New South Wales,Australia|2016-11-15||WFTDA|Member of:
153.54|-28.18|Tweed Valley Rollers|W,M|A,J|B|https://www.facebook.com/tweedvalleyrollers||http://tweedvalleyrollers.com/|Tweed Heads,New South Wales,Australia|2009-01-01||WFTDA,JRDA|Member of:
147.36|-35.11|Wagga Derby Dolls|W|A|B|https://www.facebook.com/WaggaDerbyDolls||http://waggaderbydolls.blogspot.com/|Wagga Wagga,New South Wales,Australia|2012-01-01||WFTDA|Member of:
150.82|-33.61|Hawkesbury/Hills Area Roller Derby|W|A|B|https://www.facebook.com/HARDrollerderby|info@skatehard.com.au|http://www.skatehard.com.au/|Windsor,New South Wales,Australia|2011-01-01||WFTDA|Member of:
150.89|-34.43|Wollongong Illawarra Roller Derby|W|A|B|https://www.facebook.com/wird.derby||http://wird.com.au/|Wollongong,New South Wales,Australia|2009-01-26||WFTDA|Member of:WFTDA-A
130.85|-12.46|Darwin Rollergirls|W,M|A|B|https://www.facebook.com/DarwinRollerGirls||http://www.darwinrollergirls.com.au/|Darwin,Northern Territory,Australia|2012-06-01||WFTDA|Member of:
132.27|-14.45|Katherine Derby Dolls|W|A|B|https://www.facebook.com/KatherineDerbyDolls|katherinederbydolls@hotmail.com|https://www.facebook.com/KatherineDerbyDolls|Katherine,Northern Territory,Australia|2011-09-15||WFTDA|Member of:
153.02|-27.47|Sun State Roller Derby|W|A|B|https://www.facebook.com/SunStateRollerDerby/|info@sunstaterollerderby.org|http://sunstaterollergirls.com/|Brisbane,Queensland,Australia|2007-12-31||WFTDA|Member of:WFTDA-M
153.02|-27.47|The Guild of Roller Derby|W,C|A|B|https://www.facebook.com/The-Guild-of-Roller-Derby-1609867585716967/|guildofrollerderby@gmail.com||Brisbane,Queensland,Australia|2015-01-28||WFTDA|Member of:
152.95|-27.11|Northern Brisbane Warriors|W|A|B|https://www.facebook.com/northbrisbanewarriors/||https://www.facebook.com/northbrisbanewarriors/||Morayfield,Brisbane,Australia|2018-1-1||WFTDA|Member of:
152.35|-24.87|Rum City Derby Dolls|W|A,J|B|https://www.facebook.com/rumcityderbydolls|rumcityderbydolls@gmail.com|https://www.facebook.com/rumcityderbydolls|Bundaberg,Queensland,Australia|2012-01-07||WFTDA,JRDA|Member of:
145.78|-16.92|Cairns Junior Rollers|W|J|B|https://www.facebook.com/CairnsJuniorRollers/|cairnsjuniorrollers@hotmail.com|https://www.facebook.com/pages/Cairns-Junior-Rollers/221638997884169|Cairns,Queensland,Australia|2011-09-20||JRDA|Member of:
145.78|-16.92|Reef City Rollergirls|W|A|B|https://www.facebook.com/RCRG.rollerderby|info@reefcityrollergirls.com|http://www.reefcityrollergirls.com/|Cairns,Queensland,Australia|2009-07-15||WFTDA|Member of:WFTDA-A
153.05|-27.65|Little Brisbane Roller Girls|W|J|B|https://www.facebook.com/littlebrisbanerollergirls|littlebrisbanerollergirls@gmail.com|http://www.littlebrisbanerollergirls.com|Drewvale,Queensland,Australia|2014-01-01||JRDA|Member of:
148.16|-23.53|Emerald Roller Girls|W|A|B|https://www.facebook.com/EmeraldCityRollerGirls||http://www.emeraldcityrollergirls.net/|Emerald,Queensland,Australia|2006-02-15||WFTDA|Member of:
151.25|-23.84|Gladstone Roller Derby|W,C|A,J|B|https://www.facebook.com/GladstonePcycRollerDerby|gladstonerollerderby@hotmail.com|http://gladstonerollerderby.com/|Gladstone,Queensland,Australia|2010-06-15||WFTDA,JRDA|Member of:
153.43|-28.02|East Coast Derby Dolls|W|A|B|https://www.facebook.com/eastcoastderbydolls|ecderbydolls@gmail.com|https://eastcoastderbydolls.com/|Gold Coast,Queensland,Australia|2013-11-05||WFTDA|Member of:
